Participant	NWR_pc_Total	Coda_l_pc	codas_pc	Branching_onset_pc	sC_pc 	Final_l_pc	PVC	PCC
EANA-P1	0.64788732	0.25000000	0.62500000	0.77419355	1.00000000	0.71428571	92	92
EANA-P2	0.84507042	1.00000000	1.00000000	0.93548387	1.00000000	0.42857143	93	96
EANA-P3	0.67605634	0.50000000	0.87500000	0.61290323	1.00000000	0.00000000	96	83
EANA-P4	0.56338028	0.75000000	0.81250000	0.67741935	1.00000000	0.28571429	86	82
EANA-P5	0.84507042	1.00000000	1.00000000	0.80645161	1.00000000	0.57142857	93	92
EANA-P6	0.87323944	1.00000000	1.00000000	0.93548387	1.00000000	1.00000000	98	97
EANA-P7	0.85915493	0.50000000	0.87500000	0.77419355	1.00000000	1.00000000	98	96
EANA-A1	0.83098592	0.75000000	0.87500000	0.87096774	1.00000000	1.00000000	95	97
EANA-A2	0.74647887	0.75000000	0.93750000	0.87096774	1.00000000	0.85714286	98	93
EANA-A3	0.88732394	0.75000000	0.93750000	0.93548387	1.00000000	0.85714286	94	95
EANA-A4	0.88732394	1.00000000	1.00000000	0.96774194	1.00000000	0.71428571	96	97
EANA-A5	0.87323944	1.00000000	1.00000000	0.93548387	1.00000000	0.85714286	97	93
EANA-A6	0.80281690	1.00000000	0.93750000	0.83870968	1.00000000	0.71428571	97	97
EANA-A7	0.81690141	0.50000000	0.87500000	1.00000000	1.00000000	0.14285714	95	92
EANA-A8	0.85915493	0.50000000	0.87500000	0.93548387	1.00000000	1.00000000	93	98
EANA-A9	0.76056338	0.50000000	0.81250000	0.83870968	1.00000000	0.85714286	94	88
EANA-IA1	0.87323944	0.50000000	0.81250000	0.93548387	1.00000000	1.00000000	99	96
EANA-IA2	0.78873239	1.00000000	1.00000000	0.90322581	1.00000000	0.85714286	96	94
EANA-IA3	0.81690141	1.00000000	1.00000000	0.87096774	1.00000000	0.42857143	95	93
EANA-IA4	0.81690141	1.00000000	1.00000000	0.83870968	1.00000000	0.42857143	92	96
EANA-IA5	0.61971831	0.00000000	0.62500000	0.70967742	1.00000000	0.85714286	99	86
EANA-IA6	0.94366197	1.00000000	1.00000000	0.90322581	1.00000000	1.00000000	90	94
EANA-IA7	0.81690141	1.00000000	1.00000000	0.90322581	1.00000000	1.00000000	95	98
EANA-IA8	0.95774648	1.00000000	1.00000000	0.96774194	1.00000000	1.00000000	98	89
EANA-IA9	0.91549296	1.00000000	1.00000000	0.83870968	1.00000000	0.85714286	95	94
EANA-IA10	0.84507042	0.75000000	0.93750000	0.83870968	1.00000000	0.42857143	96	88
EANA-IA11	0.92957746	1.00000000	1.00000000	0.93548387	1.00000000	1.00000000	98	97
EANA-IA12	0.74647887	1.00000000	1.00000000	0.90322581	1.00000000	0.57142857	96	98
EANA-I1	0.85915493	1.00000000	1.00000000	0.96774194	1.00000000	1.00000000	94	92
EANA-I2	0.71830986	0.50000000	0.87500000	0.77419355	1.00000000	1.00000000	96	96
EANA-I3	0.60563380	0.00000000	0.56250000	0.74193548	0.77777778	0.85714286	96	95
EANA-I4	0.91549296	1.00000000	0.93750000	1.00000000	1.00000000	1.00000000	96	94
EANA-I5	0.87323944	1.00000000	1.00000000	0.87096774	1.00000000	0.57142857	94	96
EANA-R1	0.70422535	0.75000000	0.93750000	0.74193548	0.77777778	1.00000000	94	93
EANA-R2	0.87323944	1.00000000	1.00000000	0.93548387	0.88888889	1.00000000	92	84
EANA-R3	0.88732394	1.00000000	1.00000000	0.93548387	1.00000000	1.00000000	99	99
EANA-R4	0.94366197	1.00000000	1.00000000	0.96774194	1.00000000	0.71428571	93	96
EANA-R5	0.70422535	1.00000000	1.00000000	0.83870968	1.00000000	0.14285714	100	99
EANA-AL1	0.92957746	1.00000000	1.00000000	1.00000000	1.00000000	0.71428571	99	96
EANA-AL2	0.76056338	1.00000000	1.00000000	0.83870968	1.00000000	1.00000000	81	86
EANA-AL3	0.81690141	1.00000000	1.00000000	0.93548387	1.00000000	0.57142857	89	88
EANA-AL4	0.64788732	0.50000000	0.87500000	0.77419355	1.00000000	0.14285714	98	87
EANA-AL5	0.90140845	0.75000000	0.87500000	0.80645161	0.88888889	1.00000000	90	86
EANA-AL6	0.85915493	0.75000000	0.81250000	0.93548387	1.00000000	1.00000000	95	96
EANA-M1	0.59154930	0.25000000	0.62500000	0.83870968	1.00000000	0.14285714	91	91
EANA-EA1	0.87323944	0.75000000	0.93750000	0.96774194	1.00000000	0.28571429	90	82
EANA-PB1	0.52112676	0.25000000	0.81250000	0.51612903	1.00000000	0.42857143	95	95
EANA-PB2	0.90140845	1.00000000	1.00000000	0.93548387	1.00000000	0.28571429	98	97
EANA-PB3	0.61971831	0.00000000	0.62500000	0.80645161	0.00000000	0.71428571	99	93
EANA-PB4	0.81690141	1.00000000	0.93750000	0.80645161	0.55555556	1.00000000	89	86
EANA-UR1	0.85915493	1.00000000	1.00000000	0.90322581	1.00000000	1.00000000	96	93
EANA-K1	0.70422535	0.25000000	0.81250000	0.67741935	1.00000000	0.85714286	91	87
EANA-E1	0.73239437	1.00000000	1.00000000	0.90322581	0.55555556	0.85714286	96	94
EANA-AR1	0.80281690	0.75000000	0.87500000	0.83870968	1.00000000	0.71428571	95	91
EANA-AR2	0.78873239	1.00000000	1.00000000	0.80645161	1.00000000	0.57142857	96	85
EANA-AR3	0.69014085	0.75000000	0.68750000	0.87096774	0.88888889	1.00000000	99	95
EANA-RAR1	0.80281690	0.75000000	0.93750000	0.77419355	0.88888889	0.57142857	94	98
EANA-J1	0.43661972	0.50000000	0.87500000	0.54838710	1.00000000	0.57142857	88	95
EANA-J2	0.50704225	1.00000000	1.00000000	0.54838710	1.00000000	0.42857143	97	93
EANA-GA1	0.80281690	0.50000000	0.81250000	0.77419355	1.00000000	0.71428571	91	85
EANA-RUT	0.61971831	0.00000000	0.75000000	0.80645161	1.00000000	0.71428571	96	88
EANA-RU	0.73239437	0.75000000	0.87500000	0.80645161	1.00000000	1.00000000	9
