code	sex	L1	age	LoE	nonword	V	coda_l	branching_onset	final_l	repetition	rec_voc	verbal_stm	rec_voc_zscore	phono_mem_zscore	phono_awareness_rawscore	phono_awareness
EANA-A1	M	Arabic	90	107	kip	1	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	skapufi	3	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	paklu	2	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	fikapul	3	0	0	1	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	pliks	1	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	kifapu	3	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	flis	2	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	pafuski	3	0	0	0	0	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	spu	1	0	0	0	0	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	faku	2	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	klups	1	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	skafu	2	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	kuflapi	3	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	skla	1	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	pilfu	2	1	0	0	0	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	piklafu	3	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	flaplu	2	0	2	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	kupifla	3	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	flukif	2	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	klisp	1	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	plifu	2	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	plal	1	0	1	1	0	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	kifus	2	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	plaklu	2	0	2	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	lafi	2	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	pufaki	3	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	spli	1	0	1	0	0	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	kapufik	3	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	kuspa	2	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	spakifu	3	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	spiku	2	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	pifakup	3	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	klaf	1	0	1	0	0	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	pilu	2	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	klifak	2	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	flipuka	3	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	fapus	2	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	fips	1	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	pukif	2	0	0	0	1	18	4	-14.58	-1.07	0	-3.86
EANA-A1	M	Arabic	90	107	fupli	2	0	1	0	1	18	4	-14.58	-1.07	0	-3.86
